NYSE,ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company
NYSE,ALG,Alamo Group Inc. Common Stock
NYSE,ALIN^A,Altera Infrastructure L.P. 7.25% Series A
NYSE,ALIN^B,Altera Infrastructure L.P. 8.50% Series B
NYSE,ALIN^E,Altera Infrastructure L.P. 8.875% Series E
NYSE,ALIT,Alight Inc. Class A Common Stock
NYSE,ALK,Alaska Air Group Inc. Common Stock
NYSE,ALL,Allstate Corporation (The) Common Stock
NYSE,ALL^B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053
NYSE,ALL^G,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series G
NYSE,ALL^H,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H
NYSE,ALL^I,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I
NYSE,ALLE,Allegion plc Ordinary Shares
NYSE,ALLG,Allego N.V. Ordinary Share
NYSE,ALLY,Ally Financial Inc. Common Stock
NYSE,ALP^Q,Alabama Power Company 5.00% Class A Preferred Stock Cumulative Par Value $1 Per Share (Stated Capital $25 Per Share)
NYSE,ALSN,Allison Transmission Holdings Inc. Common Stock
NYSE,ALTG,Alta Equipment Group Inc. Class A Common Stock
NYSE,ALTG^A,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock)
NYSE,ALV,Autoliv Inc. Common Stock
NYSE,ALX,Alexander's Inc. Common Stock
NYSE,AM,Antero Midstream Corporation Common Stock
NYSE,AMAM,Ambrx Biopharma Inc. American Depositary Shares (each representing seven Ordinary Shares)
NYSE,AMBC,Ambac Financial Group Inc. Common Stock
NYSE,AMBP,Ardagh Metal Packaging S.A. Ordinary Shares
NYSE,AMC,AMC Entertainment Holdings Inc. Class A Common Stock
NYSE,AMCR,Amcor plc Ordinary Shares
NYSE,AME,AMETEK Inc.
NYSE,AMG,Affiliated Managers Group Inc. Common Stock
NYSE,AMH,American Homes 4 Rent Common Shares of Beneficial Interest
NYSE,AMH^G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest
NYSE,AMH^H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest
NYSE,AMK,AssetMark Financial Holdings Inc. Common Stock
NYSE,AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc
NYSE,AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares
NYSE,AMP,Ameriprise Financial Inc. Common Stock
NYSE,AMPI,Advanced Merger Partners Inc. Class A Common Stock
NYSE,AMPS,Altus Power Inc. Class A Common Stock
NYSE,AMPY,Amplify Energy Corp. Common Stock
NYSE,AMR,Alpha Metallurgical Resources Inc. Common Stock
NYSE,AMRC,Ameresco Inc. Class A Common Stock
NYSE,AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock
NYSE,AMT,American Tower Corporation (REIT) Common Stock
NYSE,AMTD,AMTD IDEA Group American Depositary Shares each representing one Class A Ordinary Share
NYSE,AMWL,American Well Corporation Class A Common Stock
NYSE,AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L
NYSE,AN,AutoNation Inc. Common Stock
NYSE,ANAC,Arctos NorthStar Acquisition Corp. Class A Ordinary Shares
NYSE,ANET,Arista Networks Inc. Common Stock
